ID,SKU,Manufacturer,Model,Variant,Network,Capacity,Color,Grade,Damages,Weight,Weight Unit
3451592,PLAYSTATION5DIGITALCFI1015B825GBTA,Sony,PlayStation 5 Digital,CFI-1015B,Wi-Fi,825GB,White,A Grade,"",,
3451593,PLAYSTATION5DIGITALSLIMCCFI20151TA,Sony,PlayStation 5 Digital Slim,CFI-2015,Wi-Fi,1TB,White,A Grade,"",,
3451598,PS51TBBLACC,Sony,PlayStation 5,CFI-1015A,Wi-Fi,1TB,Black,C Grade,"",,
3451606,PLAYSTATION5DISCSLIMCCFI20151TBWTA,Sony,PlayStation 5 Disc Slim,CFI-2015,Wi-Fi,1TB,White,A Grade,"",,
3451608,PLAYSTATION5DISCSLIMCFI20151TBWHTA,Sony,PlayStation 5 Slim DIsc,CFI-2015,Wi-Fi,1TB,White,A Grade,"",,
3451610,PLAYSTATION5DISCCFI-1015A1TBBLACC,Sony,PlayStation 5 Disc,CFI-1015A,Wi-Fi,1TB,Black,C Grade,"",,
3451677,SAMNOTE205G128GBMYBNB,Samsung,Galaxy Note 20 5G,SM-981U,Wi-Fi,128GB,Mystic Bronze,B Grade,"",,
3451678,GALAXYNOTE+SM-N975W256GAURAB,Samsung,Galaxy Note 10+,SM-N975W,5G,256GB,Aura Black,B Grade,"",,
3456873,IPAD9THGENA2602WIFI256GSILVB,Apple,iPad 9th Gen,A2602,Wi-Fi,256GB,Silver,B Grade,"",,
3457124,IPH14PRO512GBDPPUC,Apple,iPhone 14 Pro,A2889,Unlocked,512GB,Deep Purple,C Grade,"",,
3457126,IPH14PRO128GBDPPUC,Apple,iPhone 14 Pro,A2889,Unlocked,128GB,Deep Purple,C Grade,Important Display Message - Screen Replaced LCD,,
3457127,IPHONE14PROA2889MDM512GDEEPC,Apple,iPhone 14 Pro,A2889,Unlocked,512GB,Deep Purple,C Grade,MDM Bypassed,,
3457140,PLAYSTATION5CONTROLLERBLACA,Sony,PlayStation 5,Console Cover,N/A,N/A,Black,A Grade,"",,
3469211,IPH14PRO128GBDPPUB,Apple,iPhone 14 Pro,A2889,Unlocked,128GB,Deep Purple,B Grade,Important Display Message - Screen Replaced LCD,,
3469212,IPHONE14PROA2889128GBPURPB,Apple,iPhone 14 Pro,A2889,Unlocked,128GB,Deep Purple,B Grade,"",,
3469220,IPH14PRO512GBDPPUC0002,Apple,iPhone 14 Pro,A2889,Unlocked,512GB,Deep Purple,C Grade,"Important Display Message - Screen Replaced OLED, MDM Bypassed",,
3469232,IPHONE14PROA2889MDMIDM512GSPACC,Apple,iPhone 14 Pro,A2889,Unlocked,512GB,Space Black,C Grade,"Important Display Message - Screen Replaced OLED, MDM Bypassed",,
3469245,LATIE747138GBI5256GBBLACO,Dell,"Latitude E7470 (13-inch, 2016)","7370 (8GB RAM, i5 6300U )",Wi-Fi,256GB,Black,OPEN BOX,"",,
3469246,INSP35301516GBI51TBSILVO0003,Dell,"Inspiron 3530 15-inch, 2023)","3530 (16GB RAM, i5 1355U)",Wi-Fi,1TB,Platinum Silver,OPEN BOX,"",,
3469284,INSP35301516GBI51TBSILVO0002,Dell,"Inspiron 3530 (15-inch, 2023)","3530 (16GB RAM, i5 1355U)",Wi-Fi,1TB,Platinum Silver,OPEN BOX,"",,
3469314,INSP35301516GBI51TBSILVO,Dell,"Inspiron 3530 (15-inch, 2023)","(16GB RAM, i5 1355U)",Wi-Fi,1TB,Platinum Silver,OPEN BOX,"",,
3469315,INSPIRON15INCH16GBRAMi71355U1TBPLO,Dell,"Inspiron 3530 (15-inch, 2023)","(16GB RAM, i7 1355U)",Wi-Fi,1TB,Platinum Silver,OPEN BOX,"",,
3469316,ASPISW50122GB2232GBSILVB,Acer,Aspire SW5-012(10-inch),"(2GB RAM, 2.2Ghz)",Wi-Fi,32GB,Silver,B Grade,"",,
3469317,NITRO515INCH2020512GBLACB,Acer,"Nitro 5 (15-inch, 2020)","(8GB RAM, i7-10750H)",Wi-Fi,512GB,Black,B Grade,"",,
3469318,WATCHSERIES644MMGPS+LTEN/ASPACC,Apple,Watch Series 6,44MM GPS,GPS + LTE,N/A,Space Grey,C Grade,"",,
3470147,IPH14PRO128GBDPPUB0002,Apple,iPhone 14 Pro,A2889,Unlocked,128GB,Deep Purple,B Grade,Important Display Message - Screen Replaced OLED,,
3473039,MBA13228GBM2256GBSILVB0003,Apple,"MacBook Air (13-inch, 2022)","A2681 (8GB RAM, M2 8 Core)",Wi-Fi,256GB,Silver,B Grade,"",,
3474689,MACBOOKAIR256MIDNB,Apple,"MacBook Air (13-inch, 2022)","A2681 (8GB RAM, M2 8 Core)",Wi-Fi,256GB,Midnight,B Grade,"",,
3479580,MACBOOKPRO512SILVA00003,Apple,"MacBook Pro (13-inch, 2020)","A2251 (16GB RAM, 2.3GHz i7)",Wi-Fi,512GB,Silver,A Grade,"",,
3479610,MBP13198GBI524256GBSPACC,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 2.4GHz i5)",Wi-Fi,256GB,Space Grey,C Grade,Broken LCD,,
3479611,MACBOOKPRO256SPACC00009,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 2.4GHz i5)",Wi-Fi,256GB,Space Grey,C Grade,"",,
3479614,MACBOOKPRO256SPACC00007,Apple,"MacBook Pro (13-inch, 2019)","A2159 (16GB RAM, 2.4GHz i5)",Wi-Fi,256GB,Space Grey,C Grade,"",,
3479681,MACBOOKPRO256SPACC00004,Apple,"MacBook Pro (13-inch, 2018)","A1989 (16GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Space Grey,C Grade,"",,
3479707,MACBOOKPRO512SILVA00002,Apple,"MacBook Pro (13-inch, 2019)","A2159 (16GB RAM, 2.8GHz i7)",Wi-Fi,512GB,Silver,A Grade,"",,
3479735,MBP131716GBI725512GBSILVB,Apple,"MacBook Pro (13-inch, 2017)","A1708 (16GB RAM, 2.5GHz i7)",Wi-Fi,512GB,Silver,B Grade,"",,
3479736,MACBOOKPRO512SILVC,Apple,"MacBook Pro (13-inch, 2017)","A1708 (16GB RAM, 2.5GHz i7)",Wi-Fi,512GB,Silver,C Grade,"",,
3479769,MBP151516GBI725256GBSILVC,Apple,"MacBook Pro (15-inch, 2015)","A1398 (16GB RAM, 2.5GHz i7)",Wi-Fi,256GB,Silver,C Grade,"",,
3479770,MACBOOKPRO2015256SILVC,Apple,"MacBook Pro (15-inch, 2015)","A1398 (16GB RAM, 2.2GHz i7)",Wi-Fi,256GB,Silver,C Grade,"",,
3479788,MBP151316GBI723512GBSILVB,Apple,"MacBook Pro (15-inch, 2013)","A1398 (16GB RAM, 2.3GHz i7)",Wi-Fi,512GB,Silver,B Grade,"",,
3479789,MACBOOKPRO256SILVB,Apple,"MacBook Pro (15-inch, Mid 2012)","A1398 (8GB RAM, 2.3GHz i7)",Wi-Fi,256GB,Silver,B Grade,"",,
3479794,MBP151416GBI725256GBSILVD0002,Apple,"MacBook Pro (15-inch, 2014)","A1398 (16GB RAM, 2.5GHz i7)",Wi-Fi,256GB,Silver,D Grade,"",,
3479796,MACBOOKPRO2014256SILVB,Apple,"MacBook Pro (15-inch, 2014)","A1398 (16GB RAM, 2.5GHz i7)",Wi-Fi,256GB,Silver,B Grade,"",,
3479811,MBPA13982.216256SLVB,Apple,"MacBook Pro (15-inch, 2015)","A1398 (16GB RAM, 2.2GHz i7)",Wi-Fi,256GB,Silver,B Grade,"",,
3479833,MBP151316GBI723128GBSILVB,Apple,"MacBook Pro (15-inch, 2013)","A1398 (16GB RAM, 2.3GHz i7)",Wi-Fi,128GB,Silver,B Grade,"",,
3479856,MACBOOKPRO2013L128SILVB,Apple,"MacBook Pro (15-inch, Late 2013)","A1398 (16GB RAM, 2.3GHz i7)",Wi-Fi,128GB,Silver,B Grade,"",,
3479857,MACBOOKPRO512SILVB,Apple,"MacBook Pro (15-inch, Early 2013)","A1398 (16GB RAM, 2.4GHz i7)",Wi-Fi,512GB,Silver,B Grade,"",,
3479862,MACBOOKPRO2015512SILVC,Apple,"MacBook Pro (15-inch, 2015)","A1398 (16GB RAM, 2.2GHz i7)",Wi-Fi,512GB,Silver,C Grade,"",,
3479880,MBP151316GBI723256GBSILVB0002,Apple,"MacBook Pro (15-inch, Late 2013)","A1398 (16GB RAM, 2.3GHz i7)",Wi-Fi,256GB,Silver,B Grade,"",,
3479881,MBP151316GBI723256GBSILVB,Apple,"MacBook Pro (15-inch, Late 2013)","A1398 (16GB RAM, 2.3GHz i7)",Wi-Fi,256GB,Silver,B Grade,Apple Logo Broken - Damaged,,
3479930,MBP151516GBI725128GBSILVC,Apple,"MacBook Pro (15-inch, 2015)","A1398 (16GB RAM, 2.5GHz i7)",Wi-Fi,128GB,Silver,C Grade,"",,
3479931,MACBOOKPRO2015BBPLG128SILVC,Apple,"MacBook Pro (15-inch, 2015)","A1398 (16GB RAM, 2.5GHz i7)",Wi-Fi,128GB,Silver,C Grade,Bad Battery - Only works Plugged in,,
3479939,MACBOOKAIR256SILVB,Apple,"MacBook Air (13-inch, 2017)","A1466 (8GB RAM, 2.2GHz i7)",Wi-Fi,256GB,Silver,B Grade,"",,
3479943,X51515INCH16GBI51TBSLGRC,ASUS,"X515EA (15-inch, 2021)","(16GB RAM, i5 1135G7 )",Wi-Fi,1TB,Slate Grey,C Grade,"",,
3479944,X515EA15INCH512GSLATC,ASUS,"X515EA (15-inch, 2021)","(8GB RAM, i3 1115G4)",Wi-Fi,512GB,Slate Grey,C Grade,"",,
3479945,IPHONESE2NDGSBWA227564BLACC,Apple,iPhone SE 2nd Gen,A2275,Unlocked,64GB,Black,C Grade,Service Battery Warning,,
3480982,MACBOOKPRO2013LAPLBD256SILVC,Apple,"MacBook Pro (15-inch, Late 2013)","A1398 (16GB RAM, 2.3GHz i7)",Wi-Fi,256GB,Silver,C Grade,Apple Logo Broken - Damaged,,
3482771,IPHONESE2NDA227564BREDC-42M,Apple,iPhone SE 2nd Gen,A2275,Unlocked,64GB,Red,C Grade,Service Battery Warning,,
3491610,IPHSE2NDGEN128GBBLACC,Apple,iPhone SE 2nd Gen,A2275,Unlocked,128GB,Black,C Grade,Boot Loop,,
3491929,IPH11PRO64GBSPACA,Apple,iPhone 11 Pro,A2160,Unlocked,64GB,Space Grey,A Grade,"",,
3491947,IPHONE11PROA216064GBGREEA,Apple,iPhone 11 Pro,A2160,Unlocked,64GB,Midnight Green,A Grade,"",,
3495021,PAVIX360TOUC8GBI5512GBSILVC0003,HP,"Pavilion x360 Touch (14-inch, 2023))","(8GB RAM, i5 1335u)",Wi-Fi,512GB,Silver,C Grade,"",,
3495023,PAVIX360TOUC8GBI5512GBSILVC0002,HP,"Pavilion x360 Touch (14-inch, 2023))","(8GB RAM, i5-1335U)",Wi-Fi,512GB,Silver,C Grade,"",,
3495026,PAVILIONX360T14INCH2023512SILVC,HP,"Pavilion x360 Touch (14-inch, 2023)","(8GB RAM, i5-1335U)",Wi-Fi,512GB,Silver,C Grade,"",,
3495032,GALAXYS10ESM-G970U128GBBLACA,Samsung,Galaxy S10e,SM-G970U,Wi-Fi,128GB,Black,A Grade,"",,
3495381,IPH14PLUS128GBSTARB,Apple,iPhone 14 Plus,A2632,Unlocked,128GB,Starlight,B Grade,"",,
3495382,IPH14PLUS256GBBLUEB,Apple,iPhone 14 Plus,A2632,Unlocked,256GB,Blue,B Grade,"",,
3495383,IPHONE14PLUSA2632256GBMIDNB,Apple,iPhone 14 Plus,A2632,Unlocked,256GB,Midnight,B Grade,"",,
3499353,IPHONE11A211164REDA,Apple,iPhone 11,A2111,Unlocked,64GB,Red,A Grade,"",,
3499363,IPHONE12PROMA2411128GPACIB,Apple,iPhone 12 Pro Max,A2411,Unlocked,128GB,Pacific Blue,B Grade,"",,
3499375,IPHONE12A2402128GBLACA,Apple,iPhone 12,A2402,Unlocked,128GB,Black,A Grade,"",,
3500505,IPHONESE3RDGA2595128BLACA,Apple,iPhone SE 3rd Gen,A2595,Unlocked,128GB,Black,A Grade,"",,
3500508,IPHONESE3RDGA2595128BLACB,Apple,iPhone SE 3rd Gen,A2595,Unlocked,128GB,Black,B Grade,"",,
3500514,IPHSE3RDGEN64GBBLACD0002,Apple,iPhone SE 3rd Gen,A2595,Unlocked,64GB,Black,D Grade,Broken LCD,,
3501094,IPHONESE2NDGA227564BLACA,Apple,iPhone SE 2nd Gen,A2275,Unlocked,64GB,Black,A Grade,"",,
3501291,IPHONESE2NDGA2275128REDA,Apple,iPhone SE 2nd Gen,A2275,Unlocked,128GB,Red,A Grade,"",,
3501292,IPHONESE2NDGA2275128WHITB,Apple,iPhone SE 2nd Gen,A2275,Unlocked,128GB,White,B Grade,"",,
3501293,IPHONESE2NDGA227564WHITC,Apple,iPhone SE 2nd Gen,A2275,Unlocked,64GB,White,C Grade,"",,
3501338,IPHONESE2NDGA227564WHITA,Apple,iPhone SE 2nd Gen,A2275,Unlocked,64GB,White,A Grade,"",,
3503144,IPH15PROMAX512GBNTTIA,Apple,iPhone 15 Pro Max,A3105,Unlocked,512GB,Natural Titanium,A Grade,"",,
3503145,IPHONE16PROMA3295256GWHITA,Apple,iPhone 16 Pro Max,A3295,Unlocked,256GB,White Titanium,A Grade,"",,
3503146,IPH14PROMAX512GBSPBLC,Apple,iPhone 14 Pro Max,A2561,Unlocked,512GB,Space Black,C Grade,"",,
3503147,IPH14PROMAX128GBSPBLC,Apple,iPhone 14 Pro Max,A2561,Unlocked,128GB,Space Black,C Grade,"",,
3503150,IPH1164GBBLACC0003,Apple,iPhone 11,A2111,Unlocked,64GB,Black,C Grade,"Cracked Back Glass, Broken Digitizer",,
3503151,MBA13208GBM1256GBROSGA,Apple,"MacBook Air (13-inch, 2020)","A2337 (8GB RAM, M1 8 Core)",Wi-Fi,256GB,Rose Gold,A Grade,No Boot,,
3503152,SRFCPRO412164GBI5128GBSILVD0002,Microsoft,"Surface Pro 4 (12-inch, 2016)","(4GB RAM, i5 6300U)",Wi-Fi,128GB,Silver,D Grade,Broken Digitizer,,
3510260,GALAXYS23PLUSSMS916WUNLOCKED512GEA,Samsung,Galaxy S23 Plus,SM-S916W,Unlocked,512GB,Green,A Grade,"",,
3514506,LATIE747138GBI5256GBBLACC,Dell,"Latitude E7470 (13-inch, 2016)","7370 (8GB RAM, i5 6300U )",Wi-Fi,256GB,Black,C Grade,"",,
3514507,INSP35011512GBI7512GBBLACC,Dell,"Inspiron 3501 (15-inch, 2021)","(12GB RAM, i7 1165G7)",Wi-Fi,512GB,Black,C Grade,"",,
3514508,INSPIRON350115INCH202112GBRAMi71CB,Dell,"Inspiron 3501 (15-inch, 2021)","(12GB RAM, i7 1165G7)",Wi-Fi,512GB,Black,B Grade,"",,
3514511,IPHONEXRLCDBLA198464GBLACC,Apple,iPhone XR,A1984,Unlocked,64GB,Black,C Grade,LCD Blemish Light,,
3514544,IPHSE64GBBLACD,Apple,iPhone SE,A1662,Unlocked,64GB,Black,D Grade,Cracked Front Glass,,
3514545,IPHSE2NDGEN64GBBLACD,Apple,iPhone SE 2nd Gen,A1662,Unlocked,64GB,Black,D Grade,Cracked Front Glass,,
3514546,IPHONESE2NDGENMDMLCGA166264BLACD,Apple,iPhone SE 2nd Gen,A1662,Unlocked,64GB,Black,D Grade,"MDM Locked, Cracked Front Glass",,
3519814,IPH15PROMAX256GBNTTIA,Apple,iPhone 15 Pro Max,A2849,Unlocked,256GB,Natural Titanium,A Grade,"",,
3522480,IPH13MINI128GBREDC0003,Apple,iPhone 13 mini,A2481,Wi-Fi,128GB,Red,C Grade,"",,
3522482,IPH13MINI128GBREDC0002,Apple,iPhone 13 mini,A2481,Wi-Fi,128GB,Red,C Grade,Service Battery Warning,,
3522524,IPHONE13MINISBWA2481128GBGREEC,Apple,iPhone 13 mini,A2481,Wi-Fi,128GB,Green,C Grade,Service Battery Warning,,
3523631,IPHONE13PROMA2484128GWHITC,Apple,iPhone 13 Pro Max,A2484,Wi-Fi,128GB,White,C Grade,"",,
3523641,IPH12128GBBLACC,Apple,iPhone 12,A2402,Unlocked,128GB,Black,C Grade,"Important Display Message - Screen Replaced LCD, Battery Replaced - 100% Health with Warning",,
3523642,IPHONE12CRIDMBR128GBLACC,Apple,iPhone 12,A2402,Unlocked,128GB,Black,C Grade,"Camera Replaced - Unknown Message, Important Display Message - Screen Replaced LCD, Battery Replaced - 100% Health with Warning",,
3523675,MACBOOKAIR256SPACA00004,Apple,"MacBook Air (13-inch, 2020)","A2337 (8GB RAM, M1 8 Core)",Wi-Fi,256GB,Space Grey,A Grade,"MDM Locked, Broken LCD",,
3528603,IPH15PRO128GBBLTIN,Apple,iPhone 15 Pro,A2848,Unlocked,128GB,Black Titanium,NEW,"",,
3528604,IPH15PRO128GBBLTIO,Apple,iPhone 15 Pro,A2848,Unlocked,128GB,Black Titanium,OPEN BOX,"",,
3528605,IPH15PRO128GBBLTIA,Apple,iPhone 15 Pro,A2848,Unlocked,128GB,Black Titanium,A Grade,"",,
3528606,IPH13MINI128GBREDD,Apple,iPhone 13 mini,A2481,Wi-Fi,128GB,Red,D Grade,"",,
3528607,IPH13128GBGREED0002,Apple,iPhone 13,A2482,Wi-Fi,128GB,Green,D Grade,"",,
3528608,IPH12PROMAX256GBGOLDD,Apple,iPhone 12 Pro Max,A2342,Unlocked,256GB,Gold,D Grade,"",,
3528609,IPH12PRO128GBPCBLD,Apple,iPhone 12 Pro,A2341,Unlocked,128GB,Pacific Blue,D Grade,"",,
3543793,IPHONE13PMA2484256GBGRAPC,Apple,iPhone 13 Pro Max,A2484,Wi-Fi,256GB,Graphite,C Grade,"",,
3543801,IPH16PROMAX256GBWHTIN,Apple,iPhone 16 Pro Max,A3295,Unlocked,256GB,White Titanium,NEW,"",,
3543802,IPH16PROMAX256GBNTTIN,Apple,iPhone 16 Pro Max,A3295,Unlocked,256GB,Natural Titanium,NEW,"",,
3544566,IPHONE14PROMA2561IDMOLEDR128GSPABC,Apple,iPhone 14 Pro Max,A2561,Unlocked,128GB,Space Black,C Grade,Important Display Message - Screen Replaced OLED,,
3544573,XBOX500GBWHITA,Microsoft,Xbox One S,One S 1881,Wi-Fi,500GB,White,A Grade,"",,
3544574,XBOCSERIESX18821TBBLACA,Microsoft,Xbox Series X,1882,Wi-Fi,1TB,Black,A Grade,"",,
3544575,XBOXSERIESXNB18821TBBLACA,Microsoft,Xbox Series X,1882,Wi-Fi,1TB,Black,A Grade,No Boot,,
3544597,IPADPRO129IN32GBBLACC0002,Apple,iPad Pro 12.9 inch 1st Gen,A1584,Wi-Fi,32GB,Black,C Grade,"",,
3544599,IPADPRO129IN32GBBLACC,Apple,iPad Pro 12.9 inch 1st Gen,A1584,Wi-Fi,32GB,Black,C Grade,Hairline Crack on Glass,,
3544621,IPADPRO10.5A1701WIFIHCG256GSPACC,Apple,iPad Pro 10.5 inch 1st Gen,A1701,Wi-Fi,256GB,Space Grey,C Grade,Hairline Crack on Glass,,
3544625,IPADMINI5A213364GBSPACA,Apple,iPad mini 5,A2133,Wi-Fi,64GB,Space Grey,A Grade,"",,
3544642,IPH12PRO128GBPCBLPR0002,Apple,iPhone 12 Pro,A2341,Unlocked,128GB,Pacific Blue,PARTS & REPAIR,"",,
3544643,IPH12PRO128GBPCBLPR,Apple,iPhone 12 Pro,A2341,Unlocked,128GB,Pacific Blue,PARTS & REPAIR,iCloud Locked,,
3544644,IPH12PRO256GBGOLDPR,Apple,iPhone 12 Pro,A2341,Unlocked,256GB,Gold,PARTS & REPAIR,iCloud Locked,,
3544702,IPHSE2NDGEN128GBWHITD,Apple,iPhone SE 2nd Gen,A2275,Unlocked,128GB,White,D Grade,iCloud Locked,,
3544705,WATCHSERIES644MMGPSPREDB,Apple,Watch Series 6,44MM GPS,GPS,Product Red Edition,Red,B Grade,"",,
3544723,IMAC1TBSILVA00002,Apple,"iMac (Retina, 21.5-inch, 4K, 2019)","A1419 (8GB RAM, 3.0Ghz 6 Core i5)",Wi-Fi,1TB SSD,Silver,A Grade,"",,
3546372,SAMS23ULTRA256GBLAVDA,Samsung,Galaxy S23 Ultra,SM-S918B/DS,Wi-Fi,256GB,Lavender,A Grade,"",,
3548345,MACBOOKAIR256SPACD,Apple,"MacBook Air (13-inch, 2020)","A2337 (8GB RAM, M1 8 Core)",Wi-Fi,256GB,Space Grey,D Grade,"MDM Locked, Broken LCD",,
3551640,ROG15-INCH20198GBI6-9750H256GBLACC,ASUS,"ROG (15-inch, 2019)","(8GB RAM, i5 9750H)",Wi-Fi,256GB,Black,C Grade,"",,
3552367,MACBOOKAIRLCDBL128GSPACC,Apple,"MacBook Air (13-inch, 2018)","A1932 (8GB RAM, 1.6GHz i5)",Wi-Fi,128GB,Space Grey,C Grade,LCD Blemish Light,,
3557591,IPHONE11A2111128GBLACB,Apple,iPhone 11,A2111,Unlocked,128GB,Black,B Grade,"",,
3557602,IMAC2151716GBI5301TBFUSSILVA,Apple,"iMac (Retina, 21.5-inch, 4K, 2017)","A1419 (16GB RAM, 3.0Ghz QuadCore i5)",Wi-Fi,1TB Fusion Drive,Silver,A Grade,"",,
3557603,IMAC20171TBFDSILVB,Apple,"iMac (Retina, 21.5-inch, 4K, 2017)","A1419 (16GB RAM, 3.0Ghz QuadCore i5)",Wi-Fi,1TB Fusion Drive,Silver,B Grade,"",,
3557699,LATITUDE7280256BLACB,Dell,"Latitude 7280 (12-inch, 2016)","(8GB RAM, i7 6600U)",Wifi,256GB,Black,B Grade,"",,
3567371,IPH16128GBBLACN,Apple,iPhone 16,A3081,Unlocked,128GB,Black,NEW,"",,
3567374,IPH14PROMAX512GBSPBLB,Apple,iPhone 14 Pro Max,A2561,Unlocked,512GB,Space Black,B Grade,"",,
3567375,IPH14PROMAX512GBDPPUB,Apple,iPhone 14 Pro Max,A2561,Unlocked,512GB,Deep Purple,B Grade,"",,
3567377,SAMS24ULTRA512GBLMGRA,Samsung,Galaxy S24 Ultra,SM-S928WZKFXAC,Wi-Fi,512GB,Lime Green,A Grade,"",,
3573299,IPADPRO129IN256GBSPACA,Apple,iPad Pro 12.9 inch 4th Gen,A2069,Wi-Fi,256GB,Space Grey,A Grade,"",,
3576212,IPH14PROMAX128GBSPBLA0002,Apple,iPhone 14 Pro Max,A2561,Unlocked,128GB,Space Black,A Grade,"",,
3576736,IPHXSMAX256GBBLACC,Apple,iPhone XS Max,A1921,Unlocked,256GB,Black,C Grade,"",,
3576737,IPHXSMAX256GBBLACB,Apple,iPhone XS Max,A1921,Unlocked,256GB,Black,B Grade,"",,
3606572,IPHONE11A211164GBPURPC,Apple,iPhone 11,A2111,Unlocked,64GB,Purple,C Grade,"",,
3606581,IPH13128GBGREED,Apple,iPhone 13,A2482,Wi-Fi,128GB,Green,D Grade,"iCloud Locked, Cracked Front Glass",,
3606594,"IPHONE13ICL,CFGA2482128REDD",Apple,iPhone 13,A2482,Wi-Fi,128GB,Red,D Grade,"iCloud Locked, Cracked Front Glass",,
3606602,IPHONE14A2649128GBPURPA,Apple,iPhone 14,A2649,Unlocked,128GB,Purple,A Grade,"",,
3606605,IPHONE14A2649128GBREDA,Apple,iPhone 14,A2649,Unlocked,128GB,Red,A Grade,"",,
3606613,IPADPRO129IN128GBBLACC,Apple,iPad Pro 12.9 inch 1st Gen,A1652,Wi-Fi,128GB,Black,C Grade,"",,
3606614,IPADPRO12.91STGENA1652128SPACC,Apple,iPad Pro 12.9 inch 1st Gen,A1652,Wi-Fi,128GB,Space Gray,C Grade,"",,
3606616,PENCILA1603N/AWHITB,Apple,Pencil,A1603,N/A,N/A,White,B Grade,"",,
3606624,TV4K32GBBLACD,Apple,TV 4K,A1842,Unlocked,32GB,Black,D Grade,"",,
3606626,TV4K32GBBLACC,Apple,TV 4K,A1842,Unlocked,32GB,Black,C Grade,"",,
3606631,PXLPIXEL6A128GBCHARD,Google,Pixel 6a,GX7AS,Unlocked,128GB,Charcoal,D Grade,Broken LCD,,
3606632,PXLPIXEL6A128GBCHARN,Google,Pixel 6a,GX7AS,Unlocked,128GB,Charcoal,NEW,Broken LCD,,
3606633,PIXEL6AGX7AS128GBCHARN,Google,Pixel 6a,GX7AS,Unlocked,128GB,Charcoal,NEW,"",,
3606637,IPHONE6A154916GBSPACC,Apple,iPhone 6,A1549,Unlocked,16GB,Space Grey,C Grade,"",,
3606638,LATI5430148GBI5512GBGREYB,Dell,"Latitude 5430 (14-inch, 2022)","(8GB RAM, i5 1235U)",Wi-Fi,512GB,Grey,B Grade,"",,
3606639,INSPIRON3520152022256GREYB,Dell,"Inspiron 3520 (15-inch, 2022)","(8GB RAM, i3 1215U)",Wi-Fi,256GB,Grey,B Grade,"",,
3606714,MBP161916GBI726512GBSPACO0002,Apple,"MacBook Pro (16-inch, 2019)","A2141 (16GB RAM, 2.6GHz i7)",Wi-Fi,512GB,Space Grey,OPEN BOX,Bad Battery,,
3606715,MBP161916GBI726512GBSPACO,Apple,"MacBook Pro (16-inch, 2019)","A2141 (16GB RAM, 2.6GHz i7)",Wi-Fi,512GB,Space Grey,OPEN BOX,"",,
3606716,MACBOOKPROBLCD512GSPACB,Apple,"MacBook Pro (16-inch, 2019)","A2141 (16GB RAM, 2.6GHz i7)",Wi-Fi,512GB,Space Grey,B Grade,Broken LCD,,
3606731,IPHONE6PLUSA152264GBSILVB,Apple,iPhone 6 Plus,A1522,Unlocked,64GB,Silver,B Grade,"",,
3607387,IPHONE11SBWA211164GBPURPC,Apple,iPhone 11,A2111,Unlocked,64GB,Purple,C Grade,Service Battery Warning,,
3609690,MACBOOKAIRBLCD256SPACB,Apple,"MacBook Air (13-inch, 2020)","A2179 (8GB RAM, 1.1GHz i3)",Wi-Fi,256GB,Space Grey,B Grade,Broken LCD,,
3609694,MBP13198GBI514128GBSILVA,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,128GB,Silver,A Grade,"",,
3609696,A21591.48256SLVA,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,256GB,Silver,A Grade,"",,
3609698,MACBOOKPROBLCDSILVA,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,256GB,Silver,A Grade,Broken LCD,,
3609699,MBP151816GBI7221TBSPACA,Apple,"MacBook Pro (15-inch, 2018)","A1990 (16GB RAM, 2.2GHz i7)",Wi-Fi,1TB,Space Grey,A Grade,"",,
3609700,MACBOOKPRO1TBSPACA,Apple,"MacBook Pro (15-inch, 2018)","A1990 (16GB RAM, 2.6GHz i7)",Wi-Fi,1TB,Space Grey,A Grade,"",,
3609761,MACBOOKAIRLCDBL256SPACC,Apple,"MacBook Air (13-inch, 2020)","A2179 (8GB RAM, 1.1GHz i3)",Wi-Fi,256GB,Space Grey,C Grade,LCD Blemish Light,,
3609762,MACBOOKAIRLCDBLEMLA1932128SILVC,Apple,"MacBook Air (13-inch, 2019)","A1932 (8GB RAM, 1.6GHz i5)",Wi-Fi,128GB,Silver,C Grade,LCD Blemish Light,,
3609764,MBP151916GBI726512GBSPACA,Apple,"MacBook Pro (15-inch, 2019)","A1990 (16GB RAM, 2.6GHz i7)",Wi-Fi,512GB,Space Grey,A Grade,"",,
3609765,MBP1A1990512SPACA,Apple,"MacBook Pro (15-inch, 2019)","A1990 (16GB RAM, 2.3GHz i9)",Wi-Fi,512GB,Space Grey,A Grade,"",,
3609767,MBP151916GBI726512GBSPACB,Apple,"MacBook Pro (15-inch, 2019)","A1990 (16GB RAM, 2.6GHz i7)",Wi-Fi,512GB,Space Grey,B Grade,"",,
3609768,MBP151916GBI726512GBSILVB,Apple,"MacBook Pro (15-inch, 2019)","A1990 (16GB RAM, 2.6GHz i7)",Wi-Fi,512GB,Silver,B Grade,"",,
