ID,SKU,Manufacturer,Model,Variant,Network,Capacity,Color,Grade,Damages,Weight,Weight Unit
2639184,IPADAIR3RDGEA215264GWHITA,Apple,iPad Air 3rd Gen,A2152,Wi-Fi,64GB,White,A Grade,"",,
2639186,IPADMINIBLCD4A155016GWHITD,Apple,iPad mini 4,A1550,Wi-Fi & Cellular,16GB,White,D Grade,Broken LCD,,
2639187,IPHONE11PROMA216164GWHITA,Apple,iPhone 11 Pro Max,A2161,Unlocked,64GB,White,A Grade,"",,
2639201,H476AH476A(1776W)N/AWHITA,EPSON,H476A,H476A (1776W),N/A,N/A,White,A Grade,"",,
2639211,PLAYSTATION5CFI-1216AN/AWHITN,Sony,PlayStation 5 Spiderman Combo,CFI-1216A,Wi-Fi,N/A,White,NEW,"",,
2639231,IPAD5THGENA182232GSPACD,Apple,iPad 5th Gen,A1822,Wi-Fi,32GB,Space Grey,D Grade,"",,
2639232,IPAD5THGENA182232GSPACC,Apple,iPad 5th Gen,A1822,Wi-Fi,32GB,Space Grey,C Grade,"",,
2639234,IPAD9THGENA260264GSPACB,Apple,iPad 9th Gen,A2602,Wi-Fi,64GB,Space Grey,B Grade,"",,
2639236,IPADAIR5THGEA258864GSPACA,Apple,iPad Air 5th Gen,A2588,Wi-Fi,64GB,Space Grey,A Grade,"",,
2639241,IPADMINI4A1538128SPACC,Apple,iPad mini 4,A1538,Wi-Fi & Cellular,128GB,Space Grey,C Grade,Broken Digitizer,,
2639242,IPADMINI4A1550128SPACB,Apple,iPad mini 4,A1550,Wi-Fi,128GB,Space Grey,B Grade,"",,
2639247,IPADPRO11INCA2377128SPACA,Apple,iPad Pro 11 inch 3rd Gen,A2377,Wi-Fi,128GB,Space Grey,A Grade,"",,
2639295,MACBOOKPRO256SPACB00002,Apple,"MacBook Pro (13-inch, 2017)","A1708 (16GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Space Grey,B Grade,"",,
2639297,MACBOOKPRO512SPACB00003,Apple,"MacBook Pro (13-inch, 2017)","A1708 (16GB RAM, 3.5GHz i7)",Wi-Fi,512GB,Space Grey,B Grade,"",,
2639303,MACBOOKPRO128SPACA,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,128GB,Space Grey,A Grade,"",,
2639304,MACBOOKPRO128SPACD,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,128GB,Space Grey,D Grade,"",,
2639305,MACBOOKPRO128SPACB,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,128GB,Space Grey,B Grade,"",,
2639306,MACBOOKPRO256SPACC00003,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Space Grey,C Grade,"",,
2639307,MACBOOKPRO256SPACB00004,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Space Grey,B Grade,"",,
2639309,MACBOOKPRO256SPACP00002,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Space Grey,PARTS & REPAIR,"Broken LCD, Broken Button(s)",,
2639310,MACBOOKPRO512SPACC,Apple,"MacBook Pro (13-inch, 2018)","A1989 (16GB RAM, 2.3GHz i5)",Wi-Fi,512GB,Space Grey,C Grade,"",,
2639312,MACBOOKPRO512SPACC00002,Apple,"MacBook Pro (13-inch, 2018)","A1989 (16GB RAM, 2.7GHz i7)",Wi-Fi,512GB,Space Grey,C Grade,"",,
2639316,MACBOOKPRO256SPACB00005,Apple,"MacBook Pro (13-inch, 2018)","A1989 (8GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Space Grey,B Grade,"",,
